Prey,Categories_general
Ablabesmyia,Invertebrate
Ablabesmyia,Invertebrate
Ablabesmyia,Invertebrate
Ablabesmyia,Invertebrate
Acari,Invertebrate
Acari,Invertebrate
Acari,Invertebrate
Acari,Invertebrate
Acari,Invertebrate
Acari,Invertebrate
Acari,Invertebrate
Acari,Invertebrate
Acari,Invertebrate
Acari,Invertebrate
Acari,Invertebrate
Acari,Invertebrate
Acari,Invertebrate
Acari,Invertebrate
Acari,Invertebrate
Acari,Invertebrate
Acari,Invertebrate
Acari,Invertebrate
Acari,Invertebrate
Acari,Invertebrate
Acari,Invertebrate
Acari,Invertebrate
Acari,Invertebrate
Acari,Invertebrate
Acari,Invertebrate
Acari,Invertebrate
Acari,Invertebrate
Acari,Invertebrate
Acari,Invertebrate
Acari,Invertebrate
Acaridae,Invertebrate
Acaridae,Invertebrate
Acaridae,Invertebrate
Acaridae,Invertebrate
Acaridae,Invertebrate
Acaridae,Invertebrate
Acaridae,Invertebrate
Acaridae,Invertebrate
Acaridae,Invertebrate
Acaridae,Invertebrate
Acaridae,Invertebrate
Acaridae,Invertebrate
Acaridae,Invertebrate
Acaridae,Invertebrate
Acaridae,Invertebrate
Acariformes,Invertebrate
Acariformes,Invertebrate
Acariformes,Invertebrate
Acestrorhynchidae,Fish
Acestrorhynchus lacustris,Fish
Acestrorhynchus lacustris,Fish
Acestrorhynchus sp.,Fish
Acestrorhynchus spp.,Fish
Acestrorhynchus spp.,Fish
Acestrorhynchus spp.,Fish
Acestrorhynchus spp.,Fish
Acetes americanus,Invertebrate
Acetes americanus,Invertebrate
Acetes americanus,Invertebrate
Acetes americanus,Invertebrate
Achnantidium sp.,Algae
Achnantidium sp.,Algae
Achnantidium sp.,Algae
Achnantidium sp.,Algae
Achnantidium sp.,Algae
Achnantidium sp.,Algae
Actinastrum sp.,Algae
Actinastrum sp.,Algae
Actinastrum sp.,Algae
Actinopterygii,Fish
Actinopterygii,Fish
Actinopterygii,Fish
Actinopterygii,Fish
Actinopterygii,Fish
Actinopterygii,Fish
Actinopterygii,Fish
Actinopterygii,Fish
Actinopterygii,Fish
Actinopterygii,Fish
Actinopterygii,Fish
Actinopterygii,Fish
Actinopterygii,Fish
Actinopterygii,Fish
Actinopterygii,Fish
Actinopterygii,Fish
Actinopterygii,Fish
Actinopterygii,Fish
Actinopterygii,Fish
Actinopterygii bits,Fish
Actinopterygii bits,Fish
Actinopterygii bits,Fish
Actinopterygii bits,Fish
Actinopterygii bits,Fish
Actinopterygii bits,Fish
Actinopterygii bits,Fish
Actinopterygii bits,Fish
Actinopterygii bits,Fish
Actinopterygii bits,Fish
Actinopterygii bits,Fish
Actinopterygii bits,Fish
Actinopterygii bits,Fish
Actinopterygii bits,Fish
Actinopterygii bits,Fish
Actinopterygii bits,Fish
Actinopterygii bits,Fish
Actinopterygii bits,Fish
Actinopterygii fragment,Fish
Actinopterygii fragment,Fish
Actinopterygii fragment,Fish
Actinopterygii fragment,Fish
Actinopterygii fragment,Fish
Actinopterygii NI,Fish
Actinopterygii NI,Fish
Actinopterygii NI,Fish
Adult Chironomidae,Invertebrate
Adult Chironomidae,Invertebrate
Adult Chironomidae,Invertebrate
Aeshnidae,Invertebrate
Aeshnidae,Invertebrate
Albunea paretti,Invertebrate
Albunea paretti,Invertebrate
Albunea paretti,Invertebrate
Albunea paretti,Invertebrate
Albunea sp.,Invertebrate
Albunea sp.,Invertebrate
Albunea sp.,Invertebrate
Albunea sp.,Invertebrate
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
Algae,Algae
