"Interaction","Quantified_at_the","Sampled_at_the","Main_Source","Population","Sample_size","Method","Source","Origin","Category","Prey","Strength","Index","Species","Genus","Family","Order","Class"
1,"population-level","population-level",1,1,27,"gut contents","unknown","unknown","cyanophyta","Lyngbya sp.",25.92,"%FO","Astyanax bimaculatus","Astyanax","Acestrorhamphidae","Characiformes","Teleostei"
1,"population-level","population-level",1,1,27,"gut contents","unknown","unknown","cyanophyta","Lyngbya sp.",1.7,"%FV","Astyanax bimaculatus","Astyanax","Acestrorhamphidae","Characiformes","Teleostei"
1,"population-level","population-level",1,1,27,"gut contents","unknown","unknown","cyanophyta","Lyngbya sp.",0.59,"%IAi","Astyanax bimaculatus","Astyanax","Acestrorhamphidae","Characiformes","Teleostei"
2,"population-level","population-level",1,1,27,"gut contents","unknown","unknown","chlorophyta","Spirogyra sp.",88.89,"%FO","Astyanax bimaculatus","Astyanax","Acestrorhamphidae","Characiformes","Teleostei"
2,"population-level","population-level",1,1,27,"gut contents","unknown","unknown","chlorophyta","Spirogyra sp.",75.46,"%FV","Astyanax bimaculatus","Astyanax","Acestrorhamphidae","Characiformes","Teleostei"
2,"population-level","population-level",1,1,27,"gut contents","unknown","unknown","chlorophyta","Spirogyra sp.",89.34,"%IAi","Astyanax bimaculatus","Astyanax","Acestrorhamphidae","Characiformes","Teleostei"
3,"population-level","population-level",1,1,27,"gut contents","unknown","unknown","rhodophyta","Compsopogon sp.",7.4,"%FO","Astyanax bimaculatus","Astyanax","Acestrorhamphidae","Characiformes","Teleostei"
3,"population-level","population-level",1,1,27,"gut contents","unknown","unknown","rhodophyta","Compsopogon sp.",0.05,"%FV","Astyanax bimaculatus","Astyanax","Acestrorhamphidae","Characiformes","Teleostei"
3,"population-level","population-level",1,1,27,"gut contents","unknown","unknown","rhodophyta","Compsopogon sp.",0.005,"%IAi","Astyanax bimaculatus","Astyanax","Acestrorhamphidae","Characiformes","Teleostei"
4,"population-level","population-level",1,1,27,"gut contents","unknown","vegetal","plant","vegetal fragment",59.25,"%FO","Astyanax bimaculatus","Astyanax","Acestrorhamphidae","Characiformes","Teleostei"
4,"population-level","population-level",1,1,27,"gut contents","unknown","vegetal","plant","vegetal fragment",6.4,"%FV","Astyanax bimaculatus","Astyanax","Acestrorhamphidae","Characiformes","Teleostei"
4,"population-level","population-level",1,1,27,"gut contents","unknown","vegetal","plant","vegetal fragment",5.05,"%IAi","Astyanax bimaculatus","Astyanax","Acestrorhamphidae","Characiformes","Teleostei"
5,"population-level","population-level",1,1,27,"gut contents","unknown","vegetal","plant","seed fragment",18.52,"%FO","Astyanax bimaculatus","Astyanax","Acestrorhamphidae","Characiformes","Teleostei"
5,"population-level","population-level",1,1,27,"gut contents","unknown","vegetal","plant","seed fragment",10.21,"%FV","Astyanax bimaculatus","Astyanax","Acestrorhamphidae","Characiformes","Teleostei"
5,"population-level","population-level",1,1,27,"gut contents","unknown","vegetal","plant","seed fragment",2.52,"%IAi","Astyanax bimaculatus","Astyanax","Acestrorhamphidae","Characiformes","Teleostei"
6,"population-level","population-level",1,1,27,"gut contents","unknown","vegetal","plant","seed",7.4,"%FO","Astyanax bimaculatus","Astyanax","Acestrorhamphidae","Characiformes","Teleostei"
6,"population-level","population-level",1,1,27,"gut contents","unknown","vegetal","plant","seed",0.3,"%FV","Astyanax bimaculatus","Astyanax","Acestrorhamphidae","Characiformes","Teleostei"
6,"population-level","population-level",1,1,27,"gut contents","unknown","vegetal","plant","seed",0.03,"%IAi","Astyanax bimaculatus","Astyanax","Acestrorhamphidae","Characiformes","Teleostei"
7,"population-level","population-level",1,1,27,"gut contents","aquatic","animal","insect","larvae fragment",14.81,"%FO","Astyanax bimaculatus","Astyanax","Acestrorhamphidae","Characiformes","Teleostei"
7,"population-level","population-level",1,1,27,"gut contents","aquatic","animal","insect","larvae fragment",1.16,"%FV","Astyanax bimaculatus","Astyanax","Acestrorhamphidae","Characiformes","Teleostei"
7,"population-level","population-level",1,1,27,"gut contents","aquatic","animal","insect","larvae fragment",0.23,"%IAi","Astyanax bimaculatus","Astyanax","Acestrorhamphidae","Characiformes","Teleostei"
8,"population-level","population-level",1,1,27,"gut contents","aquatic","animal","insect","insect",3.7,"%FO","Astyanax bimaculatus","Astyanax","Acestrorhamphidae","Characiformes","Teleostei"
8,"population-level","population-level",1,1,27,"gut contents","aquatic","animal","insect","insect",0.05,"%FV","Astyanax bimaculatus","Astyanax","Acestrorhamphidae","Characiformes","Teleostei"
8,"population-level","population-level",1,1,27,"gut contents","aquatic","animal","insect","insect",0.002,"%IAi","Astyanax bimaculatus","Astyanax","Acestrorhamphidae","Characiformes","Teleostei"
9,"population-level","population-level",1,1,27,"gut contents","aquatic","animal","insect","insect larvae",14.81,"%FO","Astyanax bimaculatus","Astyanax","Acestrorhamphidae","Characiformes","Teleostei"
9,"population-level","population-level",1,1,27,"gut contents","aquatic","animal","insect","insect larvae",0.17,"%FV","Astyanax bimaculatus","Astyanax","Acestrorhamphidae","Characiformes","Teleostei"
9,"population-level","population-level",1,1,27,"gut contents","aquatic","animal","insect","insect larvae",0.03,"%IAi","Astyanax bimaculatus","Astyanax","Acestrorhamphidae","Characiformes","Teleostei"
10,"population-level","population-level",1,1,27,"gut contents","aquatic","animal","insect","Ephemeroptera",3.7,"%FO","Astyanax bimaculatus","Astyanax","Acestrorhamphidae","Characiformes","Teleostei"
10,"population-level","population-level",1,1,27,"gut contents","aquatic","animal","insect","Ephemeroptera",0.19,"%FV","Astyanax bimaculatus","Astyanax","Acestrorhamphidae","Characiformes","Teleostei"
10,"population-level","population-level",1,1,27,"gut contents","aquatic","animal","insect","Ephemeroptera",0.009,"%IAi","Astyanax bimaculatus","Astyanax","Acestrorhamphidae","Characiformes","Teleostei"
