"Population","N","Locality","Type","Habitat","YearStart","YearEnd","Frequency","latitude","longitude","Species","Genus","Family","Order","Class"
1,27,"Pentecostes, Ceara state","freshwater","river",2010,2010,3,-3.81916666666667,-39.3325,"Astyanax bimaculatus","Astyanax","Acestrorhamphidae","Characiformes","Teleostei"
2,79,"Pentecostes, Ceara state","freshwater","river",2010,2010,3,-3.81916666666667,-39.3325,"Psalidodon fasciatus","Psalidodon","Acestrorhamphidae","Characiformes","Teleostei"
3,90,"Pentecostes, Ceara state","freshwater","river",2010,2010,3,-3.81916666666667,-39.3325,"Poecilia vivipara","Poecilia","Poeciliidae","Cyprinodontiformes","Teleostei"
4,1,"Pentecostes, Ceara state","freshwater","river",2010,2010,3,-3.81916666666667,-39.3325,"Hypostomus jaguribensis","Hypostomus","Loricariidae","Siluriformes","Teleostei"
5,178,"Rio Serido","freshwater","river",2007,2008,4,-6.60222222222222,-36.7830555555556,"Astyanax aff. bimaculatus","Astyanax","Acestrorhamphidae","Characiformes","Teleostei"
6,178,"Rio Serido","freshwater","river",2007,2008,4,-6.47555555555556,-37.0241666666667,"Astyanax aff. bimaculatus","Astyanax","Acestrorhamphidae","Characiformes","Teleostei"
7,178,"Rio Serido","freshwater","river",2007,2008,4,-6.30611111111111,-37.1788888888889,"Astyanax aff. bimaculatus","Astyanax","Acestrorhamphidae","Characiformes","Teleostei"
8,161,"Rio Serido","freshwater","river",2007,2008,4,-6.60222222222222,-36.7830555555556,"Serrapinnus heterodon","Serrapinnus","Characidae","Characiformes","Teleostei"
9,161,"Rio Serido","freshwater","river",2007,2008,4,-6.47555555555556,-37.0241666666667,"Serrapinnus heterodon","Serrapinnus","Characidae","Characiformes","Teleostei"
10,161,"Rio Serido","freshwater","river",2007,2008,4,-6.30611111111111,-37.1788888888889,"Serrapinnus heterodon","Serrapinnus","Characidae","Characiformes","Teleostei"
11,69,"Rio Serido","freshwater","river",2007,2008,4,-6.60222222222222,-36.7830555555556,"Triportheus signatus","Triportheus","Triportheidae","Characiformes","Teleostei"
12,69,"Rio Serido","freshwater","river",2007,2008,4,-6.47555555555556,-37.0241666666667,"Triportheus signatus","Triportheus","Triportheidae","Characiformes","Teleostei"
13,69,"Rio Serido","freshwater","river",2007,2008,4,-6.30611111111111,-37.1788888888889,"Triportheus signatus","Triportheus","Triportheidae","Characiformes","Teleostei"
14,45,"Rio Serido","freshwater","river",2007,2008,4,-6.60222222222222,-36.7830555555556,"Serrasalmus brandtii","Serrasalmus","Serrasalmidae","Characiformes","Teleostei"
15,45,"Rio Serido","freshwater","river",2007,2008,4,-6.47555555555556,-37.0241666666667,"Serrasalmus brandtii","Serrasalmus","Serrasalmidae","Characiformes","Teleostei"
16,45,"Rio Serido","freshwater","river",2007,2008,4,-6.30611111111111,-37.1788888888889,"Serrasalmus brandtii","Serrasalmus","Serrasalmidae","Characiformes","Teleostei"
17,22,"Rio Serido","freshwater","river",2007,2008,4,-6.47555555555556,-37.0241666666667,"Cichla ocellaris","Cichla","Cichlidae","Cichliformes","Teleostei"
18,22,"Rio Serido","freshwater","river",2007,2008,4,-6.30611111111111,-37.1788888888889,"Cichla ocellaris","Cichla","Cichlidae","Cichliformes","Teleostei"
19,44,"Rio Serido","freshwater","river",2007,2008,4,-6.47555555555556,-37.0241666666667,"Hoplias malabaricus","Hoplias","Erythrinidae","Characiformes","Teleostei"
20,44,"Rio Serido","freshwater","river",2007,2008,4,-6.30611111111111,-37.1788888888889,"Hoplias malabaricus","Hoplias","Erythrinidae","Characiformes","Teleostei"
21,57,"lagoa Curralinho","freshwater","lake",2007,2008,12,-8.88416666666667,-39.9036111111111,"Acestrorhynchus britskii","Acestrorhynchus","Acestrorhynchidae","Characiformes","Teleostei"
22,57,"lagoa Curralinho","freshwater","lake",2007,2008,12,-8.88416666666667,-39.9036111111111,"Acestrorhynchus lacustris","Acestrorhynchus","Acestrorhynchidae","Characiformes","Teleostei"
23,57,"lagoa Curralinho","freshwater","lake",2007,2008,12,-8.88416666666667,-39.9036111111111,"Hoplias malabaricus","Hoplias","Erythrinidae","Characiformes","Teleostei"
24,57,"lagoa Curralinho","freshwater","lake",2007,2008,12,-8.88416666666667,-39.9036111111111,"Pygocentrus piraya","Pygocentrus","Serrasalmidae","Characiformes","Teleostei"
