"Prey","Category"
"Lyngbya sp.","Algae"
"Spirogyra sp.","Algae"
"Compsopogon sp.","Algae"
"vegetal fragment","Plant"
"seed fragment","Plant"
"seed","Plant"
"larvae fragment","Invertebrate"
"insect","Invertebrate"
"insect larvae","Invertebrate"
"Ephemeroptera","Invertebrate"
"scale","Fish"
"detritus","Detritus"
"sand","Other"
"Oedogonium sp.","Algae"
"petal","Plant"
"Baetidae","Invertebrate"
"Lepidoptera larvae","Invertebrate"
"Cladocera","Invertebrate"
"Aphanocapsa sp.","Algae"
"Chroococcus sp.","Algae"
"filamentous Cyanophyceae","Algae"
"Merismopedia sp.","Algae"
"Oscillatoria sp.","Algae"
"Achnantidium sp.","Algae"
"Amphora sp.","Algae"
"Carpatograma sp.","Algae"
"Cocconeis sp.","Algae"
"Cyclotella sp.","Algae"
"Cymbella sp.","Algae"
"Diatom penatae","Algae"
"Epithemia sp.","Algae"
"Eunotia sp.","Algae"
"Fragilaria sp.","Algae"
"Gomphonema sp.","Algae"
"Gomphonema turris","Algae"
"Gyrosigma sp.","Algae"
"Navicula sp1","Algae"
"Navicula sp2","Algae"
"Navicula sp3","Algae"
"Neidium sp.","Algae"
"Nitzschia sp.","Algae"
"Pinnularia sp.","Algae"
"Pleurosira sp.","Algae"
"Pseudostaurosira sp.","Algae"
"Rhopalodia gibba","Algae"
"Synedra sp.","Algae"
"Closterium sp.","Algae"
"Closteriopsis sp.","Algae"
"Cosmarium sp1","Algae"
"Cosmarium sp2","Algae"
"Glaucocystis sp.","Algae"
"Micrasterias laticeps","Algae"
"Oedogonium sp1","Algae"
"Oedogonium sp2","Algae"
"Oocystis sp.","Algae"
"Pediastrum tetras","Algae"
"Scenedesmus sp1","Algae"
"Scenedesmus sp2","Algae"
"Staurastrum sp.","Algae"
"Euglena sp.","Algae"
"Phacus sp.","Algae"
"Trachelomonas sp.","Algae"
"anther","Plant"
"pollen grain","Plant"
"Copepoda","Invertebrate"
"Lecane sp.","Invertebrate"
"larvae","Invertebrate"
"Acari","Invertebrate"
"Surirella sp.","Algae"
"Actinastrum sp.","Algae"
"Zygnema sp.","Algae"
"Centropyxis sp.","Invertebrate"
"Insetos","Invertebrate"
"Material vegetal","Plant"
"Microcrustaceos","Invertebrate"
"Outros","Other"
"Peixes","Fish"
"Outros invertebrados","Invertebrate"
"Actinopterygii","Fish"
"Anchoviella vaillanti","Fish"
"Characidae","Fish"
"Moenkhausia costae","Fish"
"Orthospinus franciscensis","Fish"
"Actinopterygii fragment","Fish"
"Hexapoda fragment","Invertebrate"
"Plant material","Plant"
"Anostomidae","Fish"
"Characiformes sp1","Fish"
"Characiformes sp2","Fish"
"Characiformes sp3","Fish"
"other","Other"
"sediment","Other"
"Curimatidae","Fish"
"Curimatella lepidura","Fish"
